label,size,kernel,variant,med_ns_per_cell,min_ns_per_cell
cand_r1,49x33x33,rk_stage,irs,13.155619303385416,11.672322591145834
cand_r1,49x33x33,rk_stage,noirs,11.214060465494791,10.05072021484375
cand_r1,49x33x33,rk_stage,plain,7.218190511067708,6.2000732421875
cand_r1,24x16x16,smooth_l1,untiled,15.550618489583334,14.9033203125
cand_r1,24x16x16,smooth_l1,tiled,13.909016927083334,13.285481770833334
cand_r1,12x8x8,smooth_l2,untiled,17.783854166666668,17.24609375
cand_r1,12x8x8,smooth_l2,tiled,18.537760416666668,18.141927083333332
cand_r1,6x4x4,smooth_l3,untiled,35.09375,33.364583333333336
cand_r1,6x4x4,smooth_l3,tiled,42.614583333333336,40.447916666666664
cand_r1,65x49x49,rk_stage,irs,11.734483506944445,10.93490939670139
cand_r1,65x49x49,rk_stage,noirs,9.957082112630209,9.344495985243055
cand_r1,65x49x49,rk_stage,plain,8.082845052083334,7.403917100694445
cand_r1,32x24x24,smooth_l1,untiled,18.74167209201389,16.961100260416668
cand_r1,32x24x24,smooth_l1,tiled,16.723008897569443,14.571940104166666
cand_r1,16x12x12,smooth_l2,untiled,14.589409722222221,14.398871527777779
cand_r1,16x12x12,smooth_l2,tiled,16.596571180555557,16.297743055555557
cand_r1,8x6x6,smooth_l3,untiled,19.854166666666668,19.197916666666668
cand_r1,8x6x6,smooth_l3,tiled,26.145833333333332,25.20486111111111
cand_r1,81x65x65,rk_stage,irs,10.928553771972656,10.489898681640625
cand_r1,81x65x65,rk_stage,noirs,9.033763122558593,8.667861938476562
cand_r1,81x65x65,rk_stage,plain,6.965110778808594,6.748715209960937
cand_r1,40x32x32,smooth_l1,untiled,21.3029296875,20.2264892578125
cand_r1,40x32x32,smooth_l1,tiled,18.0687255859375,16.27099609375
cand_r1,20x16x16,smooth_l2,untiled,15.949609375,15.5017578125
cand_r1,20x16x16,smooth_l2,tiled,15.3646484375,14.8970703125
cand_r1,10x8x8,smooth_l3,untiled,19.546875,19.03125
cand_r1,10x8x8,smooth_l3,tiled,20.784375,20.2640625
cand_r1,97x97x97,rk_stage,irs,10.977528889973959,10.518299244068286
cand_r1,97x97x97,rk_stage,noirs,9.144747133608218,8.751855920862269
cand_r1,97x97x97,rk_stage,plain,7.216097231264468,6.931224681712963
cand_r1,48x48x48,smooth_l1,untiled,25.449833622685187,24.217194733796298
cand_r1,48x48x48,smooth_l1,tiled,19.01128924334491,17.86445674189815
cand_r1,24x24x24,smooth_l2,untiled,16.60199652777778,15.491174768518519
cand_r1,24x24x24,smooth_l2,tiled,15.600694444444445,14.15603298611111
cand_r1,12x12x12,smooth_l3,untiled,16.19097222222222,15.95486111111111
cand_r1,12x12x12,smooth_l3,tiled,19.16435185185185,18.776041666666668
cand_r1,129x97x97,rk_stage,irs,11.386158837212456,10.874122619628906
cand_r1,129x97x97,rk_stage,noirs,9.377762264675564,9.034044901529947
cand_r1,129x97x97,rk_stage,plain,7.54025395711263,6.8220876057942705
cand_r1,64x48x48,smooth_l1,untiled,26.878804524739582,26.284864637586807
cand_r1,64x48x48,smooth_l1,tiled,19.4752197265625,18.97137451171875
cand_r1,32x24x24,smooth_l2,untiled,17.81523980034722,16.986707899305557
cand_r1,32x24x24,smooth_l2,tiled,15.558837890625,14.450575086805555
cand_r1,16x12x12,smooth_l3,untiled,14.48611111111111,14.323350694444445
cand_r1,16x12x12,smooth_l3,tiled,16.353515625,16.07378472222222
cand_r2,49x33x33,rk_stage,irs,12.80865478515625,11.514078776041666
cand_r2,49x33x33,rk_stage,noirs,10.946431477864584,9.884175618489584
cand_r2,49x33x33,rk_stage,plain,6.843983968098958,6.127583821614583
cand_r2,24x16x16,smooth_l1,untiled,15.212890625,14.94384765625
cand_r2,24x16x16,smooth_l1,tiled,13.527018229166666,13.256184895833334
cand_r2,12x8x8,smooth_l2,untiled,17.147135416666668,16.834635416666668
cand_r2,12x8x8,smooth_l2,tiled,18.485677083333332,18.125
cand_r2,6x4x4,smooth_l3,untiled,35.166666666666664,33.145833333333336
cand_r2,6x4x4,smooth_l3,tiled,42.666666666666664,40.520833333333336
cand_r2,65x49x49,rk_stage,irs,11.512763129340279,11.00356716579861
cand_r2,65x49x49,rk_stage,noirs,9.739908854166666,9.26730685763889
cand_r2,65x49x49,rk_stage,plain,7.938222249348958,7.680406358506945
cand_r2,32x24x24,smooth_l1,untiled,18.008219401041668,16.95166015625
cand_r2,32x24x24,smooth_l1,tiled,15.88449435763889,14.60595703125
cand_r2,16x12x12,smooth_l2,untiled,14.75217013888889,14.415364583333334
cand_r2,16x12x12,smooth_l2,tiled,16.807942708333332,16.36675347222222
cand_r2,8x6x6,smooth_l3,untiled,20.041666666666668,19.26388888888889
cand_r2,8x6x6,smooth_l3,tiled,26.25347222222222,25.36111111111111
cand_r2,81x65x65,rk_stage,irs,10.808238220214843,10.600851440429688
cand_r2,81x65x65,rk_stage,noirs,9.006971740722657,8.817013549804688
cand_r2,81x65x65,rk_stage,plain,6.947673034667969,6.76884765625
cand_r2,40x32x32,smooth_l1,untiled,20.99608154296875,20.0821533203125
cand_r2,40x32x32,smooth_l1,tiled,17.8877197265625,16.5827880859375
cand_r2,20x16x16,smooth_l2,untiled,15.8873046875,15.5185546875
cand_r2,20x16x16,smooth_l2,tiled,15.2404296875,14.886328125
cand_r2,10x8x8,smooth_l3,untiled,19.44375,19.0
cand_r2,10x8x8,smooth_l3,tiled,20.7875,20.3375
cand_r2,97x97x97,rk_stage,irs,10.78269788953993,10.46344785337095
cand_r2,97x97x97,rk_stage,noirs,8.94472814489294,8.688646104600695
cand_r2,97x97x97,rk_stage,plain,7.649151272243923,7.13272546838831
cand_r2,48x48x48,smooth_l1,untiled,24.46635380497685,23.74830910011574
cand_r2,48x48x48,smooth_l1,tiled,18.46861888744213,17.71699580439815
cand_r2,24x24x24,smooth_l2,untiled,16.451099537037038,15.350549768518519
cand_r2,24x24x24,smooth_l2,tiled,15.588903356481481,14.32009548611111
cand_r2,12x12x12,smooth_l3,untiled,16.15798611111111,15.949652777777779
cand_r2,12x12x12,smooth_l3,tiled,19.24189814814815,18.87847222222222
cand_r2,129x97x97,rk_stage,irs,11.4591187371148,10.68347422281901
cand_r2,129x97x97,rk_stage,noirs,9.604417588975695,9.019421895345053
cand_r2,129x97x97,rk_stage,plain,7.44115236070421,6.671637641059028
cand_r2,64x48x48,smooth_l1,untiled,26.78304714626736,26.11884223090278
cand_r2,64x48x48,smooth_l1,tiled,19.37851291232639,18.263102213541668
cand_r2,32x24x24,smooth_l2,untiled,17.78366427951389,16.982259114583332
cand_r2,32x24x24,smooth_l2,tiled,15.504096137152779,14.585557725694445
cand_r2,16x12x12,smooth_l3,untiled,14.567708333333334,14.391493055555555
cand_r2,16x12x12,smooth_l3,tiled,16.32204861111111,16.037760416666668
base_r1,49x33x33,rk_stage,irs,14.755950927734375,13.297342936197916
base_r1,49x33x33,rk_stage,noirs,12.935963948567709,11.654032389322916
base_r1,49x33x33,rk_stage,plain,7.184611002604167,6.396809895833333
base_r1,24x16x16,smooth_l1,untiled,15.071451822916666,14.82177734375
base_r1,24x16x16,smooth_l1,tiled,13.5751953125,13.328450520833334
base_r1,12x8x8,smooth_l2,untiled,17.236979166666668,16.884114583333332
base_r1,12x8x8,smooth_l2,tiled,18.44140625,18.141927083333332
base_r1,6x4x4,smooth_l3,untiled,35.21875,33.5
base_r1,6x4x4,smooth_l3,tiled,42.770833333333336,40.729166666666664
base_r1,65x49x49,rk_stage,irs,14.627614339192709,13.70675998263889
base_r1,65x49x49,rk_stage,noirs,12.94710964626736,12.40603298611111
base_r1,65x49x49,rk_stage,plain,7.573004828559028,7.4212646484375
base_r1,32x24x24,smooth_l1,untiled,17.70998806423611,16.892578125
base_r1,32x24x24,smooth_l1,tiled,15.46435546875,14.472819010416666
base_r1,16x12x12,smooth_l2,untiled,14.243055555555555,14.095052083333334
base_r1,16x12x12,smooth_l2,tiled,16.522135416666668,16.327256944444443
base_r1,8x6x6,smooth_l3,untiled,19.961805555555557,19.29513888888889
base_r1,8x6x6,smooth_l3,tiled,26.03125,25.14236111111111
base_r1,81x65x65,rk_stage,irs,14.257943725585937,13.666357421875
base_r1,81x65x65,rk_stage,noirs,12.560987854003907,11.526107788085938
base_r1,81x65x65,rk_stage,plain,7.065977478027344,6.845599365234375
base_r1,40x32x32,smooth_l1,untiled,21.537451171875,20.464501953125
base_r1,40x32x32,smooth_l1,tiled,18.078662109375,17.0433837890625
base_r1,20x16x16,smooth_l2,untiled,16.037890625,15.5408203125
base_r1,20x16x16,smooth_l2,tiled,15.502734375,14.9826171875
base_r1,10x8x8,smooth_l3,untiled,19.559375,19.0671875
base_r1,10x8x8,smooth_l3,tiled,20.9453125,20.384375
base_r1,97x97x97,rk_stage,irs,13.531788013599536,13.031307644314236
base_r1,97x97x97,rk_stage,noirs,11.833316944263599,11.319725884331596
base_r1,97x97x97,rk_stage,plain,6.726092868381077,6.508678294994213
base_r1,48x48x48,smooth_l1,untiled,24.42742241753472,23.92579933449074
base_r1,48x48x48,smooth_l1,tiled,18.71709979021991,17.789939597800927
base_r1,24x24x24,smooth_l2,untiled,17.97171585648148,16.01142939814815
base_r1,24x24x24,smooth_l2,tiled,16.555772569444443,14.166304976851851
base_r1,12x12x12,smooth_l3,untiled,16.424189814814813,16.00810185185185
base_r1,12x12x12,smooth_l3,tiled,19.48321759259259,18.87326388888889
base_r1,129x97x97,rk_stage,irs,13.48053232828776,12.93411593967014
base_r1,129x97x97,rk_stage,noirs,11.564256032307943,11.146607293023003
base_r1,129x97x97,rk_stage,plain,6.384869893391927,6.142123752170139
base_r1,64x48x48,smooth_l1,untiled,27.16936577690972,26.667466905381943
base_r1,64x48x48,smooth_l1,tiled,19.805867513020832,19.21097140842014
base_r1,32x24x24,smooth_l2,untiled,18.12209743923611,17.01633029513889
base_r1,32x24x24,smooth_l2,tiled,15.825927734375,14.504774305555555
base_r1,16x12x12,smooth_l3,untiled,14.560980902777779,14.39236111111111
base_r1,16x12x12,smooth_l3,tiled,16.524305555555557,16.29513888888889
base_r2,49x33x33,rk_stage,irs,14.420857747395834,12.821858723958334
